"","No..x","Name","Yr.x","Pos.x","g.x","ab","r","h","Doubles","Triples","hr","rbi","bb","k","sb","cs","avg","obp","slg","No..y","Yr.y","Pos.y","g.y","hbp","sf","sh","tb","xbh","hdp","go","fo","go/fo","pa","School","Singles","OPS","wOBA","wRAA","wSB","fOWar","wRC","Year","Position"
"150",8,"Ryan  Daues","So.","IF",12,45,13,15,7,0,0,15,10,"10",1,0,"0.333",0.475,0.489,8,"So.","IF",12,3,1,0,22,7,"-","4","15","0.27",59,"Tufts",0,0.964,0.310693220338983,-2.07217054263566,-0.0288,-0.0100526853270201,11.4887294573643,"Sophomore","Infield"
"151",25,"Eric  Schnepf","Sr.","C",18,37,8,8,2,0,1,13,13,"10",2,0,"0.216",0.455,0.351,25,"Sr.","C",18,4,1,1,13,3,"2","14","6","2.33",56,"Tufts",0,0.806,0.306785454545455,-2.13644538407329,0.1008,-0.012648107590316,10.685721888654,"Senior","Catcher"
"152",38,"Nate  Bozzella","Fr.","",10,20,3,5,1,0,0,3,5,"6",1,0,"0.25",0.4,0.3,38,"Fr.","",10,0,0,0,6,1,"-","3","6","0.5",25,"Tufts",0,0.7,0.1935,-3.14922480620155,0.112,-0.164961936591932,1.93827519379845,"First-Year","Infield"
"153",33,"Ryan  Noone","Fr.","",9,14,2,3,0,0,0,2,0,"4",0,0,"0.214",0.214,0.214,33,"Fr.","",9,0,0,0,3,0,"-","3","2","1.5",14,"Tufts",0,0.428,0,-3.86356589147287,0,-0.25425892401244,-1.62356589147287,"First-Year","Catcher"
"154",3,"Harrison  O'Brien","Jr.","IF",13,13,4,5,0,0,0,0,4,"2",0,0,"0.385",0.529,0.385,3,"Jr.","IF",13,0,0,1,5,0,"-","4","2","2",18,"Tufts",0,0.914,0.166941176470588,-2.63803009575923,-0.0704,-0.157816623934074,0.917499316005473,"Junior","Infield"
"155",34,"Miles  Reid","Fr.","OF",14,13,4,1,0,0,0,3,3,"2",1,0,"0.077",0.294,0.077,34,"Fr.","OF",14,1,0,0,1,0,"1","5","4","1.25",17,"Tufts",0,0.371,0.168458823529412,-2.47147286821705,0.1296,-0.132874715684909,0.892327131782946,"First-Year","Outfield"
"156",20,"Connor  Bowman","Fr.","C",8,12,1,3,1,0,0,5,0,"-",0,0,"0.25",0.231,0.333,20,"Fr.","C",8,0,1,1,4,1,"-","3","7","0.43",14,"Tufts",0,0.564,0.0992307692307692,-2.78664281454979,0,-0.173650909272689,-0.234335122242098,"First-Year","Catcher"
"157",28,"Will  Reid","Fr.","OF",3,4,2,1,0,0,0,0,1,"-",0,0,"0.25",0.4,0.25,28,"Fr.","OF",3,0,0,0,1,0,"-","2","1","2",5,"Tufts",0,0.65,0.1419,-0.82984496124031,-0.0176,-0.0509564591746739,0.12965503875969,"First-Year","Outfield"
"158",25,"Alex  Cappitelli","Jr.","OF",35,131,32,36,7,2,0,14,13,"15",3,1,".275",0.378,0.359,25,"Jr.","OF",35,10,2,2,47,9,"2","35","47","0.74",158,"Wesleyan",0,0.737,0.183990384615385,-21.0678443649374,-0.2048,-1.19805222292446,10.747379994037,"Junior","Outfield"
"159",3,"Jake  Alonzo","Jr.","RHP/IF",35,122,23,33,6,0,1,12,17,"27",7,4,".270",0.375,0.344,3,"Jr.","RHP/IF",35,4,1,2,42,7,"6","30","31","0.97",146,"Wesleyan",0,0.719,0.172716666666667,-20.7436950904393,-0.5696,-1.23103506165963,8.28516046511629,"Junior","Infield"
"160",11,"Andrew  Keith","Sr.","OF",35,120,20,43,4,0,0,25,17,"12",12,3,".358",0.452,0.392,11,"Sr.","OF",35,6,3,1,47,4,"3","36","32","1.13",147,"Wesleyan",0,0.844,0.148173287671233,-23.6825788467665,0.7952,-1.34636069212324,4.73403142720612,"Senior","Outfield"
"161",10,"Danny  Rose","Sr.","OF",35,114,19,38,6,0,2,19,28,"14",2,0,".333",0.469,0.439,10,"Sr.","OF",35,3,2,1,50,8,"4","24","39","0.62",148,"Wesleyan",0,0.908,0.231761224489796,-14.2537509887676,-0.1456,-0.708534255646277,17.1372503717766,"Senior","Outfield"
"162",1,"Adam  Geibel","Fr.","",32,110,15,32,6,0,1,12,12,"3",1,2,".291",0.363,0.373,1,"Fr.","",32,1,1,1,41,7,"3","31","42","0.74",125,"Wesleyan",0,0.736,0.154175806451613,-19.5566079019755,-0.8288,-1.21397763737342,4.77585177544386,"First-Year","Infield"
